RagaNumber,Angry,Calm.Soothed,Devotional,Happy,Longing.Yearning,Romantic.Tender,Sad,Tensed.Restless,familiar,feeling,ParticipantNumber,Age,Sex,Trained,Trained_genre,Familiarity
1,0,2,1,0,1,1,2,0,NA,Slightly sad,10,20-40,Male,no,NA,Somewhat
1,0,2,2,3,1,0,0,0,no,NA,100,20-40,Female,yes,Western,Not at all
1,0,2,2,1,2,1,0,1,NA,NA,101,20-40,Male,yes,Western,A Little
1,0,3,2,2,2,2,2,1,no,"the larger bent intervals created an instability, not necessarily tension but a flexibility and desire to return, forget about the past and move forward.",102,20-40,Male,yes,Western,A Little
1,0,4,2,2,0,2,0,1,NA,NA,103,20-40,Male,yes,Western,A Little
1,0,3,0,1,0,0,1,0,NA,NA,104,20-40,Female,yes,Western,Somewhat
1,0,2,0,2,2,3,1,0,NA,NA,107,40-60,Male,no,NA,Somewhat
1,0,1,1,0,1,0,3,0,NA,NA,108,40-60,Female,no,NA,Somewhat
1,0,2,3,2,3,2,2,2,Jog,longing,112,40-60,Male,yes,Indian,Very
1,0,0,0,0,1,0,4,1,NA,NA,115,20-40,Female,no,NA,Somewhat
1,0,2,0,0,2,1,3,2,NA,NA,116,20-40,Male,no,NA,Not at all
1,0,1,2,0,1,0,0,2,No,"Again, I think this was the same as the last one I heard, but perhaps not. At least, it is the same feeling: Dramatic, slow yet purposeful, ritual or royalty, symbolism.",117,20-40,Female,yes,Western,Somewhat
1,0,3,0,3,2,3,2,0,NA,NA,118,40-60,Female,no,NA,A Little
1,0,3,4,4,3,4,0,0,NA,NA,119,20-40,Male,yes,Western,Very
1,0,2,0,1,1,1,1,0,NA,NA,126,40-60,Male,no,NA,Somewhat
1,1,1,2,2,1,2,0,1,NA,NA,127,40-60,Male,no,NA,Very
1,0,2,3,2,3,0,1,1,no,NA,128,40-60,Male,yes,Western,A Little
1,0,3,2,1,0,2,0,1,NA,NA,13,20-40,Female,no,NA,Somewhat
1,0,3,1,1,2,0,1,0,NA,NA,130,20-40,Female,yes,Indian,Expert
1,0,3,2,1,2,0,2,0,NA,NA,135,40-60,Female,yes,Indian,Very
1,0,2,1,0,2,1,3,1,NA,NA,144,20-40,Female,no,NA,Not at all
1,0,2,3,0,2,2,1,0,no,"Feeling of affection, tenderness.",150,40-60,Male,no,NA,Somewhat
1,0,1,0,0,1,0,1,1,no,NA,151,20-40,Male,no,NA,Somewhat
1,0,1,0,0,2,0,3,1,NA,This could be a music played when somebody close to heart passes away and you have started missing that person!,152,20-40,Male,yes,Indian,Very
1,0,1,0,1,3,4,1,2,NA,Its a Happy and Sad feeling. Its very difficult to describe. You do not know why you are sad but at the same time you are happy about it.,153,20-40,Male,yes,Indian,Very
1,0,0,1,0,1,0,1,1,NA,NA,157,40-60,Female,yes,Indian,A Little
1,0,2,0,0,3,1,2,0,NA,NA,158,20-40,Female,yes,Indian,A Little
1,0,2,1,1,2,1,0,0,NA,NA,161,20-40,Female,yes,Indian,Expert
1,0,1,0,0,1,1,0,1,NA,NA,162,20-40,Female,no,NA,Somewhat
1,0,2,0,0,2,0,1,0,NA,NA,167,20-40,Male,no,NA,A Little
1,0,2,1,0,1,1,3,0,NA,free,17,<20,Male,no,NA,A Little
1,0,3,1,3,1,3,0,0,Rageshree,NA,170,20-40,Male,yes,Indian,Expert
1,0,0,1,0,1,0,2,0,NA,NA,174,<20,Female,yes,Indian,A Little
1,0,2,1,1,1,2,2,0,NA,NA,176,20-40,Male,no,NA,Somewhat
1,0,1,1,0,2,0,2,1,NA,NA,178,20-40,Male,no,NA,A Little
1,2,1,1,1,3,0,3,2,NA,NA,180,20-40,Female,yes,Indian,A Little
1,0,4,1,2,2,2,0,0,NA,NA,181,20-40,Female,no,NA,A Little
1,1,3,3,4,0,2,0,1,NA,NA,186,20-40,Female,no,NA,Somewhat
1,0,3,2,2,3,2,1,1,rageshri,NA,188,20-40,Female,yes,Indian,Very
1,0,3,0,0,1,1,1,0,NA,NA,190,40-60,Male,no,NA,Very
1,0,2,2,2,0,0,3,0,NA,NA,191,20-40,Female,no,NA,Not at all
1,0,3,0,1,4,1,2,0,NA,NA,192,20-40,Male,no,NA,A Little
1,1,2,2,1,2,1,2,2,NA,NA,195,20-40,Male,no,NA,A Little
1,0,0,0,0,2,0,2,0,no,NA,197,20-40,Female,no,NA,A Little
1,0,1,0,0,2,0,3,0,NA,NA,198,20-40,Female,no,NA,Somewhat
1,2,0,0,0,0,0,0,3,NA,NA,199,40-60,Female,no,NA,Not at all
1,0,0,2,0,2,0,3,1,NA,unsure,2,40-60,Female,no,NA,A Little
1,0,2,0,1,3,1,0,0,no,pensive,205,>60,Male,no,NA,A Little
1,0,1,0,0,2,0,2,0,NA,NA,211,20-40,Female,no,NA,Somewhat
1,0,0,0,0,2,0,1,1,NA,NA,212,20-40,Male,no,NA,Very
1,0,1,0,1,2,2,1,0,NA,NA,214,20-40,Female,yes,Indian,Very
1,0,4,1,2,0,0,1,0,NA,NA,216,20-40,Female,no,NA,Somewhat
1,0,1,2,0,3,2,2,2,NA,NA,222,20-40,Male,no,NA,Somewhat
1,0,3,0,0,1,2,1,0,NA,NA,23,20-40,Male,no,NA,Not at all
1,0,1,1,0,1,0,2,0,NA,NA,235,20-40,Female,no,NA,Not at all
1,0,1,1,2,2,1,0,3,NA,NA,239,20-40,Male,yes,Indian,A Little
1,0,3,1,0,1,1,3,0,NA,NA,242,20-40,Female,yes,Western,Not at all
1,0,1,0,0,1,0,1,0,NA,NA,253,40-60,Female,yes,Western,Not at all
1,0,2,2,2,3,2,1,0,NA,NA,256,20-40,Male,yes,Indian,Very
1,0,3,2,0,0,1,0,0,NA,NA,268,20-40,Male,no,NA,Not at all
1,0,1,0,1,0,0,0,0,NA,NA,275,40-60,Male,no,NA,Somewhat
1,0,0,4,0,0,0,0,0,NA,NA,277,20-40,Male,no,NA,Somewhat
1,0,2,2,1,0,0,0,0,NA,NA,280,>60,Male,yes,Indian,Somewhat
1,0,3,2,0,3,2,3,2,NA,NA,282,20-40,NA,yes,Indian,Somewhat
1,1,1,0,1,2,1,2,3,no,NA,294,40-60,Female,yes,Western,Not at all
1,0,2,0,0,1,1,2,0,NA,NA,298,20-40,Female,no,NA,A Little
1,0,2,1,0,2,1,3,0,NA,Sad,3,20-40,Female,yes,Indian,A Little
1,0,0,0,1,3,2,2,1,NA,NA,302,20-40,Female,yes,Indian,Very
1,0,3,2,1,2,0,0,0,NA,NA,304,20-40,Male,no,NA,Somewhat
1,0,2,0,1,1,0,1,0,charukesi?,A mellow feel. little sad.Then in the higher octaves mood improves,306,40-60,Female,yes,Indian,Somewhat
1,0,2,0,0,1,1,1,2,NA,NA,307,40-60,Male,yes,Indian,Very
1,0,2,0,1,0,1,0,0,NA,NA,310,20-40,Female,no,NA,A Little
1,0,4,4,3,2,2,1,0,NA,it totally soothed my mind and connected me to ALLAH.,312,<20,Female,no,NA,Somewhat
1,2,2,2,0,3,2,1,4,NA,NA,313,20-40,Male,no,NA,Very
1,0,3,3,1,1,0,1,0,no,NA,317,20-40,Male,yes,Western,Not at all
1,1,0,0,0,0,0,0,1,NA,NA,320,20-40,Female,no,NA,Not at all
1,0,1,0,0,0,0,1,2,no,NA,321,20-40,Female,yes,Western,Not at all
1,0,2,2,1,1,1,1,0,NA,NA,323,20-40,Male,yes,Western,A Little
1,0,3,3,3,1,3,0,0,NA,NA,324,20-40,Male,yes,Indian,Very
1,0,3,3,1,2,2,2,1,NA,NA,330,20-40,Female,yes,Western,Somewhat
1,0,3,2,0,3,0,2,1,no,NA,332,20-40,Female,yes,Indian,A Little
1,0,2,1,1,0,0,1,1,NA,NA,333,>60,Female,yes,Western,NA
1,0,3,1,1,0,2,0,0,NA,NA,334,20-40,Female,yes,Western,Somewhat
1,1,2,2,1,2,2,1,2,no,NA,335,40-60,Male,yes,Western,A Little
1,0,1,0,0,3,2,1,2,Ragashree,NA,336,>60,Male,yes,Western,Expert
1,2,1,1,1,2,3,3,3,NA,NA,348,40-60,Male,yes,Indian,Very
1,0,2,0,0,2,2,0,2,NA,calm,35,20-40,Female,yes,Indian,Very
1,0,3,2,0,2,1,3,1,NA,NA,351,20-40,Female,yes,Western,Not at all
1,1,2,1,0,1,1,2,1,NA,NA,352,40-60,Male,no,NA,Somewhat
1,0,1,0,0,0,0,1,0,NA,NA,354,20-40,Male,no,NA,A Little
1,0,0,1,0,4,0,3,1,NA,NA,356,20-40,Male,no,NA,A Little
1,0,1,0,0,2,1,3,2,No,sad,36,20-40,Male,no,NA,A Little
1,1,2,1,2,2,3,1,2,no,NA,360,20-40,Female,yes,Western,A Little
1,0,2,2,2,2,2,1,0,NA,NA,362,20-40,Female,yes,Western,Not at all
1,0,3,1,2,3,1,2,1,NA,NA,364,20-40,Male,yes,Indian,Very
1,0,0,0,0,0,0,4,0,NA,NA,365,20-40,Female,no,NA,A Little
1,0,2,1,2,1,1,0,0,no,NA,366,20-40,Female,yes,Western,Not at all
1,0,3,2,3,3,2,2,0,no,NA,367,20-40,Female,yes,Western,Somewhat
1,0,2,2,0,1,3,1,0,No,"Evocative, Natural",369,40-60,Female,yes,Western,Not at all
1,0,1,0,2,1,0,2,0,NA,NA,37,<20,Female,yes,Indian,A Little
1,0,0,0,0,0,0,0,3,No,NA,376,40-60,Male,yes,Western,A Little
1,0,2,1,1,2,0,1,1,NA,NA,379,20-40,Female,yes,Western,Not at all
1,0,4,3,0,2,0,1,0,NA,NA,382,20-40,Female,yes,Western,Not at all
1,0,1,1,1,1,1,2,0,No,NA,383,20-40,Female,no,NA,Not at all
1,0,1,0,0,0,0,0,1,NA,Impatient,39,40-60,Male,yes,Indian,Very
1,0,4,4,1,4,1,1,1,NA,NA,394,40-60,Male,yes,Indian,Very
