ParticipantNumber,Age,Sex,Trained,Trained_Start age,Trained_Years,Trained_Perfom,Trained_Practise,Genre,Language_Native,Language_fluent,Ethnicity,Other,Familiarity
2,20-40,Female,no,0,0,,0,,Bengali,"English
Hindi
Bengali
Marathi",Asian,,A Little
3,20-40,Female,yes,7,6,,0,Carnatic vocal,Tamil,"Tamil
Hindi
Kannada
English",Asian,,A Little
4,20-40,Male,no,0,0,,0,,Hindi,hindi,Asian,,Somewhat
5,20-40,Male,no,0,0,,0,,kannada,"Hindi, Telugu, Kannada, English",Asian,,Not at all
6,20-40,Female,no,0,0,,0,,Tamil,"Tamil,English,Hindi",Asian,,Not at all
7,20-40,Female,yes,8,2,,0,vocal Hindustani [approx. 1yr] + vocal Carnatic [approx. 1yr],Kannada,"Kannada, Hindi, English",Asian,,Very
10,20-40,Male,no,0,0,,0,,Telugu,"Telugu
English
Hindi
Kannada",Asian,,Somewhat
13,20-40,Female,no,0,0,,0,,kannada,"kannada
english
hindi
telugu",Asian,,Somewhat
14,20-40,Female,yes,12,8,No,0,Keyboard- Classical,Marathi,"Hindi
Marathi 
English
Kannada
Konkani",Asian,,A Little
17,<20,Male,no,0,0,,0,,KODAVA,5,Asian,,A Little
23,20-40,Male,no,0,0,,0,,Kannada,"Kannada, Hindi, English",Asian,,Not at all
35,20-40,Female,yes,15,2,no,0,hindustani classical,hindi,,Asian,,Very
36,20-40,Male,no,0,0,,0,,Marathi,3,Asian,,A Little
37,<20,Female,yes,10,10,,1,"carnatic - vocal
veena - instrument",telugu,"telugu
hindi
english
sanskrit
kannada
french",Asian,,A Little
39,40-60,Male,yes,16,10,,0,Vocal - Dhrupad,Hindi,"English
Hindi
",Asian,,Very
42,20-40,Male,yes,19,2,Yes,0,"Instrument: drums and percussion
Genres: Jazz, Folk, Rock, etc.",English,English,European,Caucasion,Very
43,>60,Female,no,0,0,,0,,bengali,"bengali
hindi
english
marathi",Asian,,A Little
45,20-40,Male,yes,7,3,,0,"Harmonium, North Indian Classical",Gujarati,"English
Hindi
Gujarati",Asian,,Very
46,40-60,Male,yes,25,7,no,0,Indian Classical,Marathi,"Marathi, Hindi, English",Asian,,Expert
47,40-60,Female,no,0,0,,0,,Kannada,"hindi 
kannada
marathi
Konkani
Telugu
French
English",Asian,,A Little
49,40-60,Female,no,0,0,,0,,English,1,American,,A Little
52,<20,Female,yes,6,10,nope,0,"classical, ",kannada,3,Asian,,Very
54,<20,Male,no,0,0,,0,,malayalam,"english,kannada,malayalam,hindi,tamil",Asian,,Somewhat
62,40-60,Male,yes,20,4,,1,"as hail-s from musical people  I have heard music from my 15 years of age, but max. Marathi and Hindustani music., I sing- per me good- needs time to prepare,  about playing in last 2-3 years I am playing harmonium.",MARATHI,"MARATHI, HINDI, ENGLISH",Asian,belgaum,Very
64,40-60,Female,yes,10,15,,0,"vocal-khayal,gajal,bhajan",marathi,3,Asian,,Very
67,20-40,Female,yes,7,30,No,0,"Vocal - Western classical + Dhrupad
Percussion - western classical, african, oriental
Flute",Dutch,"Dutch
English
German",European,,Very
72,40-60,Female,yes,9,8,,0,Classical Piano,English,English,Canada,Canadian,Not at all
73,40-60,Male,yes,0,0,Yes,0,Sarod,Hindi,"Hindi
English
",Asian,New Delhi,Expert
74,40-60,Male,no,0,0,,0,,English,"English (native), French (slowly spoken)",European,,Somewhat
